
	Representative rates for the period  January 01, 1994 - November 01, 2023
	Date	U.K. pound(GBP)	
	24-Mar-1994	1.4929  	
	25-Mar-1994	1.4998  	
	28-Mar-1994	1.496  	
	29-Mar-1994	1.4951  	
	30-Mar-1994	1.4776  	
	31-Mar-1994	1.4822  	
	05-Apr-1994	1.468  	
	06-Apr-1994	1.4691  	
	07-Apr-1994	1.4698  	
	08-Apr-1994	1.4764  	
	11-Apr-1994	1.4755  	
	12-Apr-1994	1.4692  	
	13-Apr-1994	1.474  	
	14-Apr-1994	1.4739  	
	15-Apr-1994	1.4741  	
	18-Apr-1994	1.4726  	
	19-Apr-1994	1.4776  	
	20-Apr-1994	1.4824  	
	21-Apr-1994	1.4953  	
	22-Apr-1994	1.4889  	
	25-Apr-1994	1.4935  	
	26-Apr-1994	1.491  	
	27-Apr-1994	1.5058  	
	28-Apr-1994	1.5038  	
	29-Apr-1994	1.5095  	
	03-May-1994	1.5112  	
	04-May-1994	1.5085  	
	05-May-1994	1.496  	
	06-May-1994	1.4952  	
	09-May-1994	1.4958  	
	10-May-1994	1.4957  	
	11-May-1994	1.4895  	
	12-May-1994	1.4992  	
	13-May-1994	1.497  	
	16-May-1994	1.5005  	
	17-May-1994	1.5038  	
	18-May-1994	1.5052  	
	19-May-1994	1.5077  	
	20-May-1994	1.5077  	
	23-May-1994	1.508  	
	24-May-1994	1.5044  	
	25-May-1994	1.506  	
	26-May-1994	1.5082  	
	27-May-1994	1.5085  	
	31-May-1994	1.5102  	
	01-Jun-1994	1.5138  	
	02-Jun-1994	1.5154  	
	03-Jun-1994	1.5057  	
	06-Jun-1994	1.5074  	
	07-Jun-1994	1.5048  	
	08-Jun-1994	1.5097  	
	09-Jun-1994	1.5077  	
	10-Jun-1994	1.5052  	
	13-Jun-1994	1.5137  	
	14-Jun-1994	1.5202  	
	15-Jun-1994	1.5207  	
	16-Jun-1994	1.5216  	
	17-Jun-1994	1.5173  	
	20-Jun-1994	1.5373  	
	21-Jun-1994	1.538  	
	22-Jun-1994	1.5366  	
	23-Jun-1994	1.5308  	
	24-Jun-1994	1.5464  	
	27-Jun-1994	1.5568  	
	28-Jun-1994	1.5454  	
	29-Jun-1994	1.5488  	
	30-Jun-1994	1.5402  	
	01-Jul-1994	1.5332  	
	04-Jul-1994	1.5385  	
	05-Jul-1994	1.543  	
	06-Jul-1994	1.5438  	
	07-Jul-1994	1.5415  	
	08-Jul-1994	1.5417  	
	11-Jul-1994	1.5592  	
	12-Jul-1994	1.5707  	
	13-Jul-1994	1.569  	
	14-Jul-1994	1.5628  	
	15-Jul-1994	1.5572  	
	18-Jul-1994	1.563  	
	19-Jul-1994	1.562  	
	20-Jul-1994	1.5435  	
	21-Jul-1994	1.548  	
	22-Jul-1994	1.5247  	
	25-Jul-1994	1.5335  	
	26-Jul-1994	1.5238  	
	27-Jul-1994	1.5297  	
	28-Jul-1994	1.5337  	
	29-Jul-1994	1.5263  	
	01-Aug-1994	1.5436  	
	02-Aug-1994	1.541  	
	03-Aug-1994	1.535  	
	04-Aug-1994	1.5412  	
	05-Aug-1994	1.5365  	
	08-Aug-1994	1.5421  	
	09-Aug-1994	1.5365  	
	10-Aug-1994	1.538  	
	11-Aug-1994	1.5375  	
	12-Aug-1994	1.5478  	
	15-Aug-1994	1.544  	
	16-Aug-1994	1.5392  	
	17-Aug-1994	1.5375  	
	18-Aug-1994	1.543  	
	19-Aug-1994	1.5492  	
	22-Aug-1994	1.547  	
	23-Aug-1994	1.554  	
	24-Aug-1994	1.5527  	
	25-Aug-1994	1.5495  	
	26-Aug-1994	1.554  	
	30-Aug-1994	1.5345  	
	31-Aug-1994	1.534  	
	01-Sep-1994	1.5365  	
	02-Sep-1994	1.5424  	
	05-Sep-1994	1.548  	
	06-Sep-1994	1.547  	
	07-Sep-1994	1.5492  	
	08-Sep-1994	1.5455  	
	09-Sep-1994	1.5418  	
	12-Sep-1994	1.5598  	
	13-Sep-1994	1.5685  	
	14-Sep-1994	1.5677  	
	15-Sep-1994	1.565  	
	16-Sep-1994	1.5663  	
	19-Sep-1994	1.5747  	
	20-Sep-1994	1.5715  	
	21-Sep-1994	1.5765  	
	22-Sep-1994	1.5775  	
	23-Sep-1994	1.5765  	
	26-Sep-1994	1.5753  	
	27-Sep-1994	1.5752  	
	28-Sep-1994	1.5787  	
	29-Sep-1994	1.5757  	
	30-Sep-1994	1.5797  	
	03-Oct-1994	1.575  	
	04-Oct-1994	1.58  	
	05-Oct-1994	1.5857  	
	06-Oct-1994	1.586  	
	07-Oct-1994	1.5915  	
	10-Oct-1994	1.5836  	
	11-Oct-1994	1.5853  	
	12-Oct-1994	1.581  	
	13-Oct-1994	1.5829  	
	14-Oct-1994	1.5913  	
	17-Oct-1994	1.6074  	
	18-Oct-1994	1.6125  	
	19-Oct-1994	1.6187  	
	20-Oct-1994	1.6203  	
	21-Oct-1994	1.6311  	
	24-Oct-1994	1.6283  	
	25-Oct-1994	1.6386  	
	26-Oct-1994	1.6345  	
	27-Oct-1994	1.6373  	
	28-Oct-1994	1.635  	
	31-Oct-1994	1.622  	
	01-Nov-1994	1.637  	
	02-Nov-1994	1.6372  	
	03-Nov-1994	1.6216  	
	04-Nov-1994	1.6086  	
	07-Nov-1994	1.6165  	
	08-Nov-1994	1.6157  	
	09-Nov-1994	1.6033  	
	10-Nov-1994	1.6075  	
	11-Nov-1994	1.602  	
	14-Nov-1994	1.59  	
	15-Nov-1994	1.5887  	
	16-Nov-1994	1.5737  	
	17-Nov-1994	1.5742  	
	18-Nov-1994	1.5685  	
	21-Nov-1994	1.5673  	
	22-Nov-1994	1.5682  	
	23-Nov-1994	1.5748  	
	24-Nov-1994	1.5617  	
	25-Nov-1994	1.5645  	
	28-Nov-1994	1.5627  	
	29-Nov-1994	1.5665  	
	30-Nov-1994	1.5625  	
	01-Dec-1994	1.5675  	
	02-Dec-1994	1.566  	
	05-Dec-1994	1.5597  	
	06-Dec-1994	1.5615  	
	07-Dec-1994	1.5662  	
	08-Dec-1994	1.5647  	
	09-Dec-1994	1.5603  	
	12-Dec-1994	1.5613  	
	13-Dec-1994	1.562  	
	14-Dec-1994	1.5623  	
	15-Dec-1994	1.5603  	
	16-Dec-1994	1.5633  	
	19-Dec-1994	1.5593  	
	20-Dec-1994	1.5603  	
	21-Dec-1994	1.5593  	
	22-Dec-1994	1.55  	
	23-Dec-1994	1.548  	
	28-Dec-1994	1.547  	
	29-Dec-1994	1.5537  	
	30-Dec-1994	1.5625  	
	03-Jan-1995	1.5617  	
	04-Jan-1995	1.5605  	
	05-Jan-1995	1.561  	
	06-Jan-1995	1.5645  	
	09-Jan-1995	1.5537  	
	10-Jan-1995	1.5623  	
	11-Jan-1995	1.563  	
	12-Jan-1995	1.5585  	
	13-Jan-1995	1.5705  	
	16-Jan-1995	1.5697  	
	17-Jan-1995	1.5678  	
	18-Jan-1995	1.5755  	
	19-Jan-1995	1.5693  	
	20-Jan-1995	1.585  	
	23-Jan-1995	1.5865  	
	24-Jan-1995	1.6  	
	25-Jan-1995	1.5992  	
	26-Jan-1995	1.594  	
	27-Jan-1995	1.5895  	
	30-Jan-1995	1.5878  	
	31-Jan-1995	1.593  	
	01-Feb-1995	1.5802  	
	02-Feb-1995	1.583  	
	03-Feb-1995	1.575  	
	06-Feb-1995	1.5595  	
	07-Feb-1995	1.5583  	
	08-Feb-1995	1.5505  	
	09-Feb-1995	1.5537  	
	10-Feb-1995	1.5565  	
	13-Feb-1995	1.564  	
	14-Feb-1995	1.5547  	
	15-Feb-1995	1.5638  	
	16-Feb-1995	1.571  	
	17-Feb-1995	1.578  	
	20-Feb-1995	1.584  	
	21-Feb-1995	1.5797  	
	22-Feb-1995	1.5815  	
	23-Feb-1995	1.5903  	
	24-Feb-1995	1.5897  	
	27-Feb-1995	1.5823  	
	28-Feb-1995	1.579  	
	01-Mar-1995	1.581  	
	02-Mar-1995	1.5885  	
	03-Mar-1995	1.609  	
	06-Mar-1995	1.6492  	
	07-Mar-1995	1.6225  	
	08-Mar-1995	1.6405  	
	09-Mar-1995	1.6132  	
	10-Mar-1995	1.5965  	
	13-Mar-1995	1.582  	
	14-Mar-1995	1.5863  	
	15-Mar-1995	1.585  	
	16-Mar-1995	1.5957  	
	17-Mar-1995	1.5888  	
	20-Mar-1995	1.5845  	
	21-Mar-1995	1.583  	
	22-Mar-1995	1.5853  	
	23-Mar-1995	1.5895  	
	24-Mar-1995	1.597  	
	27-Mar-1995	1.593  	
	28-Mar-1995	1.6006  	
	29-Mar-1995	1.6123  	
	30-Mar-1995	1.6132  	
	31-Mar-1995	1.613  	
	03-Apr-1995	1.618  	
	04-Apr-1995	1.6124  	
	05-Apr-1995	1.614  	
	06-Apr-1995	1.6072  	
	07-Apr-1995	1.608  	
	10-Apr-1995	1.5983  	
	11-Apr-1995	1.5925  	
	12-Apr-1995	1.5903  	
	13-Apr-1995	1.5973  	
	18-Apr-1995	1.6193  	
	19-Apr-1995	1.6137  	
	20-Apr-1995	1.6137  	
	21-Apr-1995	1.6035  	
	24-Apr-1995	1.6175  	
	25-Apr-1995	1.611  	
	26-Apr-1995	1.6075  	
	27-Apr-1995	1.6165  	
	28-Apr-1995	1.6125  	
	01-May-1995	1.614  	
	02-May-1995	1.6172  	
	03-May-1995	1.6133  	
	04-May-1995	1.6167  	
	05-May-1995	1.6092  	
	09-May-1995	1.5948  	
	10-May-1995	1.591  	
	11-May-1995	1.5725  	
	12-May-1995	1.568  	
	15-May-1995	1.5685  	
	16-May-1995	1.5605  	
	17-May-1995	1.5713  	
	18-May-1995	1.5737  	
	19-May-1995	1.575  	
	22-May-1995	1.568  	
	23-May-1995	1.574  	
	24-May-1995	1.5695  	
	25-May-1995	1.5792  	
	26-May-1995	1.607  	
	30-May-1995	1.599  	
	31-May-1995	1.604  	
	01-Jun-1995	1.584  	
	02-Jun-1995	1.5962  	
	05-Jun-1995	1.5898  	
	06-Jun-1995	1.5904  	
	07-Jun-1995	1.5904  	
	08-Jun-1995	1.5913  	
	09-Jun-1995	1.5986  	
	12-Jun-1995	1.5962  	
	13-Jun-1995	1.5977  	
	14-Jun-1995	1.599  	
	15-Jun-1995	1.5995  	
	16-Jun-1995	1.603  	
	19-Jun-1995	1.6  	
	20-Jun-1995	1.603  	
	21-Jun-1995	1.6039  	
	22-Jun-1995	1.6085  	
	23-Jun-1995	1.5977  	
	26-Jun-1995	1.596  	
	27-Jun-1995	1.5833  	
	28-Jun-1995	1.5807  	
	29-Jun-1995	1.5827  	
	30-Jun-1995	1.594  	
	03-Jul-1995	1.5958  	
	04-Jul-1995	1.593  	
	05-Jul-1995	1.5935  	
	06-Jul-1995	1.5946  	
	07-Jul-1995	1.596  	
	10-Jul-1995	1.5937  	
	11-Jul-1995	1.5883  	
	12-Jul-1995	1.5928  	
	13-Jul-1995	1.5887  	
	14-Jul-1995	1.5963  	
	17-Jul-1995	1.5939  	
	18-Jul-1995	1.596  	
	19-Jul-1995	1.5937  	
	20-Jul-1995	1.5978  	
	21-Jul-1995	1.5946  	
	24-Jul-1995	1.5964  	
	25-Jul-1995	1.5962  	
	26-Jul-1995	1.5938  	
	27-Jul-1995	1.5929  	
	28-Jul-1995	1.5977  	
	31-Jul-1995	1.6025  	
	01-Aug-1995	1.5966  	
	02-Aug-1995	1.6053  	
	03-Aug-1995	1.6033  	
	04-Aug-1995	1.6032  	
	07-Aug-1995	1.6057  	
	08-Aug-1995	1.6005  	
	09-Aug-1995	1.5997  	
	10-Aug-1995	1.5988  	
	11-Aug-1995	1.5828  	
	14-Aug-1995	1.5767  	
	15-Aug-1995	1.5729  	
	16-Aug-1995	1.5533  	
	17-Aug-1995	1.5405  	
	18-Aug-1995	1.5457  	
	21-Aug-1995	1.5427  	
	22-Aug-1995	1.5364  	
	23-Aug-1995	1.5366  	
	24-Aug-1995	1.5422  	
	25-Aug-1995	1.5422  	
	29-Aug-1995	1.5485  	
	30-Aug-1995	1.5453  	
	31-Aug-1995	1.5525  	
	01-Sep-1995	1.5515  	
	04-Sep-1995	1.5587  	
	05-Sep-1995	1.5551  	
	06-Sep-1995	1.5488  	
	07-Sep-1995	1.5508  	
	08-Sep-1995	1.5447  	
	11-Sep-1995	1.5522  	
	12-Sep-1995	1.553  	
	13-Sep-1995	1.55  	
	14-Sep-1995	1.5479  	
	15-Sep-1995	1.5476  	
	18-Sep-1995	1.5451  	
	19-Sep-1995	1.5443  	
	20-Sep-1995	1.5469  	
	21-Sep-1995	1.5615  	
	22-Sep-1995	1.576  	
	25-Sep-1995	1.5712  	
	26-Sep-1995	1.5694  	
	27-Sep-1995	1.5665  	
	28-Sep-1995	1.5805  	
	29-Sep-1995	1.58  	
	02-Oct-1995	1.5822  	
	03-Oct-1995	1.594  	
	04-Oct-1995	1.5802  	
	05-Oct-1995	1.5842  	
	06-Oct-1995	1.5855  	
	09-Oct-1995	1.5857  	
	10-Oct-1995	1.579  	
	11-Oct-1995	1.5781  	
	12-Oct-1995	1.5723  	
	13-Oct-1995	1.5729  	
	16-Oct-1995	1.5758  	
	17-Oct-1995	1.5723  	
	18-Oct-1995	1.5755  	
	19-Oct-1995	1.5717  	
	20-Oct-1995	1.5719  	
	23-Oct-1995	1.579  	
	24-Oct-1995	1.5821  	
	25-Oct-1995	1.5803  	
	26-Oct-1995	1.5784  	
	27-Oct-1995	1.5822  	
	30-Oct-1995	1.575  	
	31-Oct-1995	1.5746  	
	01-Nov-1995	1.5798  	
	02-Nov-1995	1.5792  	
	03-Nov-1995	1.577  	
	06-Nov-1995	1.5802  	
	07-Nov-1995	1.5787  	
	08-Nov-1995	1.5813  	
	09-Nov-1995	1.5783  	
	10-Nov-1995	1.576  	
	13-Nov-1995	1.5675  	
	14-Nov-1995	1.5597  	
	15-Nov-1995	1.5628  	
	16-Nov-1995	1.5593  	
	17-Nov-1995	1.5587  	
	20-Nov-1995	1.546  	
	21-Nov-1995	1.5547  	
	22-Nov-1995	1.559  	
	23-Nov-1995	1.5633  	
	24-Nov-1995	1.5643  	
	27-Nov-1995	1.5588  	
	28-Nov-1995	1.5482  	
	29-Nov-1995	1.5358  	
	30-Nov-1995	1.5345  	
	01-Dec-1995	1.5268  	
	04-Dec-1995	1.5351  	
	05-Dec-1995	1.5405  	
	06-Dec-1995	1.54  	
	07-Dec-1995	1.538  	
	08-Dec-1995	1.5303  	
	11-Dec-1995	1.5355  	
	12-Dec-1995	1.5335  	
	13-Dec-1995	1.532  	
	14-Dec-1995	1.5374  	
	15-Dec-1995	1.5405  	
	18-Dec-1995	1.5382  	
	19-Dec-1995	1.5428  	
	20-Dec-1995	1.5389  	
	21-Dec-1995	1.5383  	
	22-Dec-1995	1.5394  	
	27-Dec-1995	1.5535  	
	28-Dec-1995	1.5548  	
	29-Dec-1995	1.55  	
	02-Jan-1996	1.548  	
	03-Jan-1996	1.5539  	
	04-Jan-1996	1.5498  	
	05-Jan-1996	1.5465  	
	08-Jan-1996	1.5508  	
	09-Jan-1996	1.5492  	
	10-Jan-1996	1.5455  	
	11-Jan-1996	1.545  	
	12-Jan-1996	1.5427  	
	15-Jan-1996	1.546  	
	16-Jan-1996	1.5417  	
	17-Jan-1996	1.5347  	
	18-Jan-1996	1.5235  	
	19-Jan-1996	1.5138  	
	22-Jan-1996	1.5102  	
	23-Jan-1996	1.5143  	
	24-Jan-1996	1.5105  	
	25-Jan-1996	1.5158  	
	26-Jan-1996	1.5078  	
	29-Jan-1996	1.5037  	
	30-Jan-1996	1.5068  	
	31-Jan-1996	1.5067  	
	01-Feb-1996	1.5127  	
	02-Feb-1996	1.519  	
	05-Feb-1996	1.5298  	
	06-Feb-1996	1.539  	
	07-Feb-1996	1.5367  	
	08-Feb-1996	1.534  	
	09-Feb-1996	1.5363  	
	12-Feb-1996	1.5317  	
	13-Feb-1996	1.531  	
	14-Feb-1996	1.5398  	
	15-Feb-1996	1.5389  	
	16-Feb-1996	1.5407  	
	19-Feb-1996	1.5473  	
	20-Feb-1996	1.5442  	
	21-Feb-1996	1.5435  	
	22-Feb-1996	1.5425  	
	23-Feb-1996	1.5385  	
	26-Feb-1996	1.541  	
	27-Feb-1996	1.5402  	
	28-Feb-1996	1.5385  	
	29-Feb-1996	1.533  	
	01-Mar-1996	1.5275  	
	04-Mar-1996	1.5288  	
	05-Mar-1996	1.528  	
	06-Mar-1996	1.5288  	
	07-Mar-1996	1.5262  	
	08-Mar-1996	1.5283  	
	11-Mar-1996	1.523  	
	12-Mar-1996	1.5203  	
	13-Mar-1996	1.5228  	
	14-Mar-1996	1.5245  	
	15-Mar-1996	1.526  	
	18-Mar-1996	1.5292  	
	19-Mar-1996	1.5305  	
	20-Mar-1996	1.5372  	
	21-Mar-1996	1.5378  	
	22-Mar-1996	1.5345  	
	25-Mar-1996	1.5245  	
	26-Mar-1996	1.526  	
	27-Mar-1996	1.5217  	
	28-Mar-1996	1.5198  	
	29-Mar-1996	1.5254  	
	01-Apr-1996	1.526  	
	02-Apr-1996	1.5264  	
	03-Apr-1996	1.526  	
	04-Apr-1996	1.526  	
	09-Apr-1996	1.5265  	
	10-Apr-1996	1.5204  	
	11-Apr-1996	1.5117  	
	12-Apr-1996	1.5132  	
	15-Apr-1996	1.5073  	
	16-Apr-1996	1.5095  	
	17-Apr-1996	1.5064  	
	18-Apr-1996	1.5098  	
	19-Apr-1996	1.5198  	
	22-Apr-1996	1.5128  	
	23-Apr-1996	1.5118  	
	24-Apr-1996	1.5138  	
	25-Apr-1996	1.5096  	
	26-Apr-1996	1.5085  	
	29-Apr-1996	1.513  	
	30-Apr-1996	1.5081  	
	01-May-1996	1.4978  	
	02-May-1996	1.498  	
	03-May-1996	1.5018  	
	07-May-1996	1.5087  	
	08-May-1996	1.5125  	
	09-May-1996	1.5211  	
	10-May-1996	1.5283  	
	13-May-1996	1.5166  	
	14-May-1996	1.5168  	
	15-May-1996	1.5169  	
	16-May-1996	1.5133  	
	17-May-1996	1.5128  	
	20-May-1996	1.512  	
	21-May-1996	1.5134  	
	22-May-1996	1.5103  	
	23-May-1996	1.5101  	
	24-May-1996	1.5137  	
	28-May-1996	1.5104  	
	29-May-1996	1.5166  	
	30-May-1996	1.5355  	
	31-May-1996	1.5383  	
	03-Jun-1996	1.5475  	
	04-Jun-1996	1.551  	
	05-Jun-1996	1.5462  	
	06-Jun-1996	1.5432  	
	07-Jun-1996	1.5488  	
	10-Jun-1996	1.535  	
	11-Jun-1996	1.536  	
	12-Jun-1996	1.5357  	
	13-Jun-1996	1.534  	
	14-Jun-1996	1.5385  	
	17-Jun-1996	1.5448  	
	18-Jun-1996	1.5467  	
	19-Jun-1996	1.5449  	
	20-Jun-1996	1.5409  	
	21-Jun-1996	1.5407  	
	24-Jun-1996	1.5399  	
	25-Jun-1996	1.5402  	
	26-Jun-1996	1.541  	
	27-Jun-1996	1.5415  	
	28-Jun-1996	1.5485  	
	01-Jul-1996	1.5539  	
	02-Jul-1996	1.5555  	
	03-Jul-1996	1.5572  	
	04-Jul-1996	1.561  	
	05-Jul-1996	1.5561  	
	08-Jul-1996	1.5527  	
	09-Jul-1996	1.5514  	
	10-Jul-1996	1.5499  	
	11-Jul-1996	1.5539  	
	12-Jul-1996	1.5529  	
	15-Jul-1996	1.5497  	
	16-Jul-1996	1.5568  	
	17-Jul-1996	1.5528  	
	18-Jul-1996	1.544  	
	19-Jul-1996	1.5455  	
	22-Jul-1996	1.5482  	
	23-Jul-1996	1.5537  	
	24-Jul-1996	1.5562  	
	25-Jul-1996	1.554  	
	26-Jul-1996	1.5563  	
	29-Jul-1996	1.558  	
	30-Jul-1996	1.556  	
	31-Jul-1996	1.558  	
	01-Aug-1996	1.5563  	
	02-Aug-1996	1.5432  	
	05-Aug-1996	1.5461  	
	06-Aug-1996	1.5407  	
	07-Aug-1996	1.5432  	
	08-Aug-1996	1.5434  	
	09-Aug-1996	1.5507  	
	12-Aug-1996	1.5502  	
	13-Aug-1996	1.5498  	
	14-Aug-1996	1.5482  	
	15-Aug-1996	1.549  	
	16-Aug-1996	1.5495  	
	19-Aug-1996	1.5463  	
	20-Aug-1996	1.5452  	
	21-Aug-1996	1.5482  	
	22-Aug-1996	1.5481  	
	23-Aug-1996	1.5531  	
	27-Aug-1996	1.559  	
	28-Aug-1996	1.5574  	
	29-Aug-1996	1.558  	
	30-Aug-1996	1.5572  	
	02-Sep-1996	1.563  	
	03-Sep-1996	1.5605  	
	04-Sep-1996	1.5668  	
	05-Sep-1996	1.5687  	
	06-Sep-1996	1.5666  	
	09-Sep-1996	1.5602  	
	10-Sep-1996	1.5536  	
	11-Sep-1996	1.5556  	
	12-Sep-1996	1.5548  	
	13-Sep-1996	1.555  	
	16-Sep-1996	1.5514  	
	17-Sep-1996	1.5553  	
	18-Sep-1996	1.5593  	
	19-Sep-1996	1.5593  	
	20-Sep-1996	1.5533  	
	23-Sep-1996	1.5537  	
	24-Sep-1996	1.558  	
	25-Sep-1996	1.564  	
	26-Sep-1996	1.5612  	
	27-Sep-1996	1.5615  	
	30-Sep-1996	1.5622  	
	01-Oct-1996	1.564  	
	02-Oct-1996	1.5659  	
	03-Oct-1996	1.5658  	
	04-Oct-1996	1.5652  	
	07-Oct-1996	1.5638  	
	08-Oct-1996	1.5619  	
	09-Oct-1996	1.5645  	
	10-Oct-1996	1.5653  	
	11-Oct-1996	1.5757  	
	14-Oct-1996	1.5794  	
	15-Oct-1996	1.5825  	
	16-Oct-1996	1.5853  	
	17-Oct-1996	1.5872  	
	18-Oct-1996	1.5882  	
	21-Oct-1996	1.5927  	
	22-Oct-1996	1.5953  	
	23-Oct-1996	1.5972  	
	24-Oct-1996	1.5942  	
	25-Oct-1996	1.5958  	
	28-Oct-1996	1.614  	
	29-Oct-1996	1.6075  	
	30-Oct-1996	1.6208  	
	31-Oct-1996	1.6282  	
	01-Nov-1996	1.6405  	
	04-Nov-1996	1.6369  	
	05-Nov-1996	1.6524  	
	06-Nov-1996	1.643  	
	07-Nov-1996	1.6427  	
	08-Nov-1996	1.6486  	
	11-Nov-1996	1.6473  	
	12-Nov-1996	1.6517  	
	13-Nov-1996	1.6518  	
	14-Nov-1996	1.665  	
	15-Nov-1996	1.6648  	
	18-Nov-1996	1.6665  	
	19-Nov-1996	1.6738  	
	20-Nov-1996	1.6789  	
	21-Nov-1996	1.6832  	
	22-Nov-1996	1.6847  	
	25-Nov-1996	1.6826  	
	26-Nov-1996	1.669  	
	27-Nov-1996	1.6777  	
	28-Nov-1996	1.6775  	
	29-Nov-1996	1.6825  	
	02-Dec-1996	1.6848  	
	03-Dec-1996	1.6697  	
	04-Dec-1996	1.6522  	
	05-Dec-1996	1.6258  	
	06-Dec-1996	1.6442  	
	09-Dec-1996	1.643  	
	10-Dec-1996	1.653  	
	11-Dec-1996	1.6553  	
	12-Dec-1996	1.651  	
	13-Dec-1996	1.6577  	
	16-Dec-1996	1.6595  	
	17-Dec-1996	1.6653  	
	18-Dec-1996	1.673  	
	19-Dec-1996	1.6711  	
	20-Dec-1996	1.6652  	
	23-Dec-1996	1.6757  	
	24-Dec-1996	1.6738  	
	27-Dec-1996	1.6832  	
	30-Dec-1996	1.6887  	
	31-Dec-1996	1.698  	
	02-Jan-1997	1.703  	
	03-Jan-1997	1.6965  	
	06-Jan-1997	1.6885  	
	07-Jan-1997	1.6933  	
	08-Jan-1997	1.6899  	
	09-Jan-1997	1.692  	
	10-Jan-1997	1.6825  	
	13-Jan-1997	1.674  	
	14-Jan-1997	1.6726  	
	15-Jan-1997	1.673  	
	16-Jan-1997	1.677  	
	17-Jan-1997	1.675  	
	20-Jan-1997	1.6597  	
	21-Jan-1997	1.6627  	
	22-Jan-1997	1.655  	
	23-Jan-1997	1.6337  	
	24-Jan-1997	1.6305  	
	27-Jan-1997	1.6203  	
	28-Jan-1997	1.6108  	
	29-Jan-1997	1.613  	
	30-Jan-1997	1.6205  	
	31-Jan-1997	1.602  	
	03-Feb-1997	1.6041  	
	04-Feb-1997	1.623  	
	05-Feb-1997	1.6275  	
	06-Feb-1997	1.6394  	
	07-Feb-1997	1.6288  	
	10-Feb-1997	1.6341  	
	11-Feb-1997	1.6394  	
	12-Feb-1997	1.6364  	
	13-Feb-1997	1.632  	
	14-Feb-1997	1.6207  	
	17-Feb-1997	1.6202  	
	18-Feb-1997	1.6027  	
	19-Feb-1997	1.6178  	
	20-Feb-1997	1.609  	
	21-Feb-1997	1.6202  	
	24-Feb-1997	1.6285  	
	25-Feb-1997	1.6372  	
	26-Feb-1997	1.638  	
	27-Feb-1997	1.6278  	
	28-Feb-1997	1.6298  	
	03-Mar-1997	1.6212  	
	04-Mar-1997	1.6172  	
	05-Mar-1997	1.6115  	
	06-Mar-1997	1.6105  	
	07-Mar-1997	1.6062  	
	10-Mar-1997	1.5985  	
	11-Mar-1997	1.6052  	
	12-Mar-1997	1.5908  	
	13-Mar-1997	1.6039  	
	14-Mar-1997	1.597  	
	17-Mar-1997	1.593  	
	18-Mar-1997	1.5875  	
	19-Mar-1997	1.5953  	
	20-Mar-1997	1.594  	
	21-Mar-1997	1.5948  	
	24-Mar-1997	1.6095  	
	25-Mar-1997	1.616  	
	26-Mar-1997	1.6197  	
	27-Mar-1997	1.6293  	
	01-Apr-1997	1.644  	
	02-Apr-1997	1.6427  	
	03-Apr-1997	1.6397  	
	04-Apr-1997	1.6357  	
	07-Apr-1997	1.6278  	
	08-Apr-1997	1.6225  	
	09-Apr-1997	1.6235  	
	10-Apr-1997	1.6237  	
	11-Apr-1997	1.6243  	
	14-Apr-1997	1.6235  	
	15-Apr-1997	1.6268  	
	16-Apr-1997	1.6207  	
	17-Apr-1997	1.6282  	
	18-Apr-1997	1.6313  	
	21-Apr-1997	1.6325  	
	22-Apr-1997	1.637  	
	23-Apr-1997	1.6338  	
